公司名称,其他非流动资产,年份,table_dir,pdf_path,html_path
湖南科创信息技术股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-09__湖南科创信息技术股份有限公司__300730__科创信息__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-09__湖南科创信息技术股份有限公司__300730__科创信息__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-09__湖南科创信息技术股份有限公司__300730__科创信息__2021年__年度报告.html
上海金桥出口加工区开发股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-18__上海金桥出口加工区开发股份有限公司__900911__浦东金桥__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-18__上海金桥出口加工区开发股份有限公司__900911__浦东金桥__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-18__上海金桥出口加工区开发股份有限公司__900911__浦东金桥__2019年__年度报告.html
中密控股股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-23__中密控股股份有限公司__300470__中密控股__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-23__中密控股股份有限公司__300470__中密控股__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-23__中密控股股份有限公司__300470__中密控股__2019年__年度报告.html
南京万德斯环保科技股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-20__南京万德斯环保科技股份有限公司__688178__万德斯__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-20__南京万德斯环保科技股份有限公司__688178__万德斯__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-20__南京万德斯环保科技股份有限公司__688178__万德斯__2019年__年度报告.html
哈尔滨新光光电科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-07__哈尔滨新光光电科技股份有限公司__688011__新光光电__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-07__哈尔滨新光光电科技股份有限公司__688011__新光光电__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-07__哈尔滨新光光电科技股份有限公司__688011__新光光电__2020年__年度报告.html
彩讯科技股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-16__彩讯科技股份有限公司__300634__彩讯股份__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-16__彩讯科技股份有限公司__300634__彩讯股份__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-16__彩讯科技股份有限公司__300634__彩讯股份__2019年__年度报告.html
上海维宏电子科技股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-17__上海维宏电子科技股份有限公司__300508__维宏股份__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-17__上海维宏电子科技股份有限公司__300508__维宏股份__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-17__上海维宏电子科技股份有限公司__300508__维宏股份__2019年__年度报告.html
山西科新发展股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-03-31__山西科新发展股份有限公司__600234__科新发展__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-03-31__山西科新发展股份有限公司__600234__科新发展__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-03-31__山西科新发展股份有限公司__600234__科新发展__2019年__年度报告.html
朗新科技集团股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-04__朗新科技集团股份有限公司__300682__朗新科技__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-04__朗新科技集团股份有限公司__300682__朗新科技__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-04__朗新科技集团股份有限公司__300682__朗新科技__2019年__年度报告.html
上海市北高新股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-31__上海市北高新股份有限公司__600604__市北高新__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-31__上海市北高新股份有限公司__600604__市北高新__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-31__上海市北高新股份有限公司__600604__市北高新__2020年__年度报告.html
宁波中百股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-03-29__宁波中百股份有限公司__600857__宁波中百__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-03-29__宁波中百股份有限公司__600857__宁波中百__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-03-29__宁波中百股份有限公司__600857__宁波中百__2021年__年度报告.html
北京市博汇科技股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-12__北京市博汇科技股份有限公司__688004__博汇科技__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-12__北京市博汇科技股份有限公司__688004__博汇科技__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-12__北京市博汇科技股份有限公司__688004__博汇科技__2021年__年度报告.html
中电电机股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-10__中电电机股份有限公司__603988__中电电机__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-10__中电电机股份有限公司__603988__中电电机__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-10__中电电机股份有限公司__603988__中电电机__2020年__年度报告.html
莲花健康产业集团股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-02__莲花健康产业集团股份有限公司__600186__莲花健康__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-02__莲花健康产业集团股份有限公司__600186__莲花健康__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-02__莲花健康产业集团股份有限公司__600186__莲花健康__2019年__年度报告.html
新疆友好集团股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-21__新疆友好集团股份有限公司__600778__友好集团__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-21__新疆友好集团股份有限公司__600778__友好集团__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-21__新疆友好集团股份有限公司__600778__友好集团__2020年__年度报告.html
天地源股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-25__天地源股份有限公司__600665__天地源__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-25__天地源股份有限公司__600665__天地源__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-25__天地源股份有限公司__600665__天地源__2019年__年度报告.html
宁波中百股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-03-31__宁波中百股份有限公司__600857__宁波中百__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-03-31__宁波中百股份有限公司__600857__宁波中百__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-03-31__宁波中百股份有限公司__600857__宁波中百__2019年__年度报告.html
上海新华传媒股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-31__上海新华传媒股份有限公司__600825__新华传媒__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-31__上海新华传媒股份有限公司__600825__新华传媒__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-31__上海新华传媒股份有限公司__600825__新华传媒__2020年__年度报告.html
江西天利科技股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-12__江西天利科技股份有限公司__300399__天利科技__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-12__江西天利科技股份有限公司__300399__天利科技__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-12__江西天利科技股份有限公司__300399__天利科技__2021年__年度报告.html
华创阳安股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-22__华创阳安股份有限公司__600155__华创阳安__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-22__华创阳安股份有限公司__600155__华创阳安__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-22__华创阳安股份有限公司__600155__华创阳安__2019年__年度报告.html
杭州迪普科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-22__杭州迪普科技股份有限公司__300768__迪普科技__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-22__杭州迪普科技股份有限公司__300768__迪普科技__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-22__杭州迪普科技股份有限公司__300768__迪普科技__2020年__年度报告.html
杭州当虹科技股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-16__杭州当虹科技股份有限公司__688039__当虹科技__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-16__杭州当虹科技股份有限公司__688039__当虹科技__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-16__杭州当虹科技股份有限公司__688039__当虹科技__2021年__年度报告.html
中国黄金集团黄金珠宝股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-21__中国黄金集团黄金珠宝股份有限公司__600916__中国黄金__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-21__中国黄金集团黄金珠宝股份有限公司__600916__中国黄金__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-21__中国黄金集团黄金珠宝股份有限公司__600916__中国黄金__2020年__年度报告.html
山东鲁北化工股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-31__山东鲁北化工股份有限公司__600727__鲁北化工__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-31__山东鲁北化工股份有限公司__600727__鲁北化工__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-31__山东鲁北化工股份有限公司__600727__鲁北化工__2020年__年度报告.html
拉卡拉支付股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-10__拉卡拉支付股份有限公司__300773__拉卡拉__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-10__拉卡拉支付股份有限公司__300773__拉卡拉__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-10__拉卡拉支付股份有限公司__300773__拉卡拉__2020年__年度报告.html
上海钢联电子商务股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-15__上海钢联电子商务股份有限公司__300226__上海钢联__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-15__上海钢联电子商务股份有限公司__300226__上海钢联__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-15__上海钢联电子商务股份有限公司__300226__上海钢联__2019年__年度报告.html
上海开创国际海洋资源股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-01__上海开创国际海洋资源股份有限公司__600097__开创国际__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-01__上海开创国际海洋资源股份有限公司__600097__开创国际__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-01__上海开创国际海洋资源股份有限公司__600097__开创国际__2020年__年度报告.html
石家庄科林电气股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-16__石家庄科林电气股份有限公司__603050__科林电气__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-16__石家庄科林电气股份有限公司__603050__科林电气__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-16__石家庄科林电气股份有限公司__603050__科林电气__2020年__年度报告.html
南京雷尔伟新技术股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-03-31__南京雷尔伟新技术股份有限公司__301016__雷尔伟__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-03-31__南京雷尔伟新技术股份有限公司__301016__雷尔伟__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-03-31__南京雷尔伟新技术股份有限公司__301016__雷尔伟__2021年__年度报告.html
浙江长城电工科技股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-15__浙江长城电工科技股份有限公司__603897__长城科技__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-15__浙江长城电工科技股份有限公司__603897__长城科技__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-15__浙江长城电工科技股份有限公司__603897__长城科技__2019年__年度报告.html
普元信息技术股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-22__普元信息技术股份有限公司__688118__普元信息__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-22__普元信息技术股份有限公司__688118__普元信息__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-22__普元信息技术股份有限公司__688118__普元信息__2020年__年度报告.html
上海宏力达信息技术股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-10__上海宏力达信息技术股份有限公司__688330__宏力达__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-10__上海宏力达信息技术股份有限公司__688330__宏力达__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-10__上海宏力达信息技术股份有限公司__688330__宏力达__2020年__年度报告.html
大连热电股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-20__大连热电股份有限公司__600719__大连热电__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-20__大连热电股份有限公司__600719__大连热电__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-20__大连热电股份有限公司__600719__大连热电__2020年__年度报告.html
深圳市理邦精密仪器股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-15__深圳市理邦精密仪器股份有限公司__300206__理邦仪器__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-15__深圳市理邦精密仪器股份有限公司__300206__理邦仪器__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-15__深圳市理邦精密仪器股份有限公司__300206__理邦仪器__2020年__年度报告.html
宁波大叶园林设备股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-20__宁波大叶园林设备股份有限公司__300879__大叶股份__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-20__宁波大叶园林设备股份有限公司__300879__大叶股份__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-20__宁波大叶园林设备股份有限公司__300879__大叶股份__2020年__年度报告.html
深圳市朗科科技股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-18__深圳市朗科科技股份有限公司__300042__朗科科技__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-18__深圳市朗科科技股份有限公司__300042__朗科科技__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-18__深圳市朗科科技股份有限公司__300042__朗科科技__2019年__年度报告.html
苏州工业园区凌志软件股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-20__苏州工业园区凌志软件股份有限公司__688588__凌志软件__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-20__苏州工业园区凌志软件股份有限公司__688588__凌志软件__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-20__苏州工业园区凌志软件股份有限公司__688588__凌志软件__2020年__年度报告.html
北京万集科技股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-09__北京万集科技股份有限公司__300552__万集科技__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-09__北京万集科技股份有限公司__300552__万集科技__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-09__北京万集科技股份有限公司__300552__万集科技__2021年__年度报告.html
吉林高速公路股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-16__吉林高速公路股份有限公司__601518__吉林高速__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-16__吉林高速公路股份有限公司__601518__吉林高速__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-16__吉林高速公路股份有限公司__601518__吉林高速__2021年__年度报告.html
果麦文化传媒股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-03-30__果麦文化传媒股份有限公司__301052__果麦文化__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-03-30__果麦文化传媒股份有限公司__301052__果麦文化__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-03-30__果麦文化传媒股份有限公司__301052__果麦文化__2021年__年度报告.html
恒宇信通航空装备北京股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-20__恒宇信通航空装备北京股份有限公司__300965__恒宇信通__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-20__恒宇信通航空装备北京股份有限公司__300965__恒宇信通__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-20__恒宇信通航空装备北京股份有限公司__300965__恒宇信通__2020年__年度报告.html
深圳海联讯科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-21__深圳海联讯科技股份有限公司__300277__海联讯__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-21__深圳海联讯科技股份有限公司__300277__海联讯__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-21__深圳海联讯科技股份有限公司__300277__海联讯__2020年__年度报告.html
拓尔思信息技术股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-13__拓尔思信息技术股份有限公司__300229__拓尔思__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-13__拓尔思信息技术股份有限公司__300229__拓尔思__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-13__拓尔思信息技术股份有限公司__300229__拓尔思__2020年__年度报告.html
福耀玻璃工业集团股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-03-18__福耀玻璃工业集团股份有限公司__600660__福耀玻璃__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-03-18__福耀玻璃工业集团股份有限公司__600660__福耀玻璃__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-03-18__福耀玻璃工业集团股份有限公司__600660__福耀玻璃__2021年__年度报告.html
北京京城机电股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-18__北京京城机电股份有限公司__600860__京城股份__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-18__北京京城机电股份有限公司__600860__京城股份__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-18__北京京城机电股份有限公司__600860__京城股份__2020年__年度报告.html
北京致远互联软件股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-21__北京致远互联软件股份有限公司__688369__致远互联__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-21__北京致远互联软件股份有限公司__688369__致远互联__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-21__北京致远互联软件股份有限公司__688369__致远互联__2019年__年度报告.html
成都振芯科技股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-19__成都振芯科技股份有限公司__300101__振芯科技__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-19__成都振芯科技股份有限公司__300101__振芯科技__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-19__成都振芯科技股份有限公司__300101__振芯科技__2021年__年度报告.html
华致酒行连锁管理股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-24__华致酒行连锁管理股份有限公司__300755__华致酒行__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-24__华致酒行连锁管理股份有限公司__300755__华致酒行__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-24__华致酒行连锁管理股份有限公司__300755__华致酒行__2019年__年度报告.html
青海金瑞矿业发展股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-14__青海金瑞矿业发展股份有限公司__600714__金瑞矿业__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-14__青海金瑞矿业发展股份有限公司__600714__金瑞矿业__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-14__青海金瑞矿业发展股份有限公司__600714__金瑞矿业__2021年__年度报告.html
华电重工股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-24__华电重工股份有限公司__601226__华电重工__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-24__华电重工股份有限公司__601226__华电重工__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-24__华电重工股份有限公司__601226__华电重工__2019年__年度报告.html
深圳市安车检测股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-23__深圳市安车检测股份有限公司__300572__安车检测__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-23__深圳市安车检测股份有限公司__300572__安车检测__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-23__深圳市安车检测股份有限公司__300572__安车检测__2019年__年度报告.html
赛摩智能科技集团股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-16__赛摩智能科技集团股份有限公司__300466__赛摩智能__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-16__赛摩智能科技集团股份有限公司__300466__赛摩智能__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-16__赛摩智能科技集团股份有限公司__300466__赛摩智能__2021年__年度报告.html
咸亨国际科技股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-15__咸亨国际科技股份有限公司__605056__咸亨国际__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-15__咸亨国际科技股份有限公司__605056__咸亨国际__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-15__咸亨国际科技股份有限公司__605056__咸亨国际__2021年__年度报告.html
创业慧康科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-23__创业慧康科技股份有限公司__300451__创业慧康__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-23__创业慧康科技股份有限公司__300451__创业慧康__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-23__创业慧康科技股份有限公司__300451__创业慧康__2020年__年度报告.html
石家庄科林电气股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-16__石家庄科林电气股份有限公司__603050__科林电气__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-16__石家庄科林电气股份有限公司__603050__科林电气__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-16__石家庄科林电气股份有限公司__603050__科林电气__2019年__年度报告.html
南通江山农药化工股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-20__南通江山农药化工股份有限公司__600389__江山股份__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-20__南通江山农药化工股份有限公司__600389__江山股份__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-20__南通江山农药化工股份有限公司__600389__江山股份__2020年__年度报告.html
北京世纪瑞尔技术股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-23__北京世纪瑞尔技术股份有限公司__300150__世纪瑞尔__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-23__北京世纪瑞尔技术股份有限公司__300150__世纪瑞尔__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-23__北京世纪瑞尔技术股份有限公司__300150__世纪瑞尔__2020年__年度报告.html
杭州聚合顺新材料股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-16__杭州聚合顺新材料股份有限公司__605166__聚合顺__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-16__杭州聚合顺新材料股份有限公司__605166__聚合顺__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-16__杭州聚合顺新材料股份有限公司__605166__聚合顺__2020年__年度报告.html
信雅达科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-17__信雅达科技股份有限公司__600571__信雅达__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-17__信雅达科技股份有限公司__600571__信雅达__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-17__信雅达科技股份有限公司__600571__信雅达__2020年__年度报告.html
北京百纳千成影视股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-25__北京百纳千成影视股份有限公司__300291__百纳千成__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-25__北京百纳千成影视股份有限公司__300291__百纳千成__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-25__北京百纳千成影视股份有限公司__300291__百纳千成__2019年__年度报告.html
